,all_locations,location_object,lat_long,quality,api_address
1861,S Lowe Ave And W 88th St,"<[OK] Bing - Geocode [S Lowe Ave & W 88th St, Chicago, IL 60620]>","[41.734328, -87.639921]",RoadIntersection,"S Lowe Ave & W 88th St, Chicago, IL 60620"
1862,S Muskegon Ave And E 78th St,"<[OK] Bing - Geocode [S Muskegon Ave & E 78th St, Chicago, IL 60649]>","[41.753683, -87.555562]",RoadIntersection,"S Muskegon Ave & E 78th St, Chicago, IL 60649"
1863,S Normal Ave And W 88th St,"<[OK] Bing - Geocode [S Normal Ave & W 88th St, Chicago, IL 60620]>","[41.7343764, -87.6362719]",RoadIntersection,"S Normal Ave & W 88th St, Chicago, IL 60620"
1864,S Prospect Ave And W 101st Pl,"<[OK] Bing - Geocode [S Prospect Ave & W 101st Pl, Chicago, IL 60643]>","[41.709001, -87.662322]",RoadIntersection,"S Prospect Ave & W 101st Pl, Chicago, IL 60643"
1865,S Ridgeway Ave And W 78th Pl,"<[OK] Bing - Geocode [S Ridgeway Ave & W 78th Pl, Chicago, IL 60652]>","[41.7504735, -87.7161817]",RoadIntersection,"S Ridgeway Ave & W 78th Pl, Chicago, IL 60652"
1866,S Damen Ave And W 18th St,"<[OK] Bing - Geocode [S Damen Ave & W 18th St, Chicago, IL 60608]>","[41.857722, -87.676019]",RoadIntersection,"S Damen Ave & W 18th St, Chicago, IL 60608"
1867,W 91st St And S Perry Ave,"<[OK] Bing - Geocode [W 91st St & S Perry Ave, Chicago, IL 60620]>","[41.7290124, -87.6264409]",RoadIntersection,"W 91st St & S Perry Ave, Chicago, IL 60620"
1868,W 78th St And S Damen Ave,"<[OK] Bing - Geocode [W 78th St & S Damen Ave, Chicago, IL 60620]>","[41.752036, -87.673204]",RoadIntersection,"W 78th St & S Damen Ave, Chicago, IL 60620"
1869,W 54th St And S Damen Ave,"<[OK] Bing - Geocode [W 54th St & S Damen Ave, Chicago, IL 60609]>","[41.795796, -87.674346]",RoadIntersection,"W 54th St & S Damen Ave, Chicago, IL 60609"
1870,W 65th St And S Fairfield Ave,"<[OK] Bing - Geocode [W 65th St & S Fairfield Ave, Chicago, IL 60629]>","[41.7754803, -87.6921106]",RoadIntersection,"W 65th St & S Fairfield Ave, Chicago, IL 60629"
1871,W 66th St And S Damen Ave,"<[OK] Bing - Geocode [W 66th St & S Damen Ave, Chicago, IL 60636]>","[41.773901, -87.673757]",RoadIntersection,"W 66th St & S Damen Ave, Chicago, IL 60636"
1872,W Cullom Ave And N Ridgeway Ave,"<[OK] Bing - Geocode [W Cullom Ave & N Ridgeway Ave, Chicago, IL 60618]>","[41.959201, -87.721633]",RoadIntersection,"W Cullom Ave & N Ridgeway Ave, Chicago, IL 60618"
1873,S Western Ave And W 66th St,"<[OK] Bing - Geocode [S Western Ave & W 66th St, Chicago, IL 60636]>","[41.773784, -87.683604]",RoadIntersection,"S Western Ave & W 66th St, Chicago, IL 60636"
1874,W Sunnyside Ave And N Laporte Ave,"<[OK] Bing - Geocode [W Sunnyside Ave & N Laporte Ave, Chicago, IL 60630]>","[41.962506, -87.751273]",RoadIntersection,"W Sunnyside Ave & N Laporte Ave, Chicago, IL 60630"
1875,S Harding Ave And W 24th St,"<[OK] Bing - Geocode [S Harding Ave & W 24th St, Chicago, IL 60623]>","[41.847932, -87.723408]",RoadIntersection,"S Harding Ave & W 24th St, Chicago, IL 60623"
1876,S Perry Ave And W 105th St,"<[OK] Bing - Geocode [S Perry Ave & W 105th St, Chicago, IL 60628]>","[41.703483, -87.625764]",RoadIntersection,"S Perry Ave & W 105th St, Chicago, IL 60628"
1877,W Berteau Ave And N Lawndale Ave,"<[OK] Bing - Geocode [W Berteau Ave & N Lawndale Ave, Chicago, IL 60618]>","[41.9574, -87.7203809]",RoadIntersection,"W Berteau Ave & N Lawndale Ave, Chicago, IL 60618"
1878,11450 S Homewood Ave,"<[OK] Bing - Geocode [11450 S Homewood Ave, Chicago, IL 60643]>","[41.684986, -87.670803]",Address,"11450 S Homewood Ave, Chicago, IL 60643"
1879,10050 S Prospect Ave,"<[OK] Bing - Geocode [10050 S Prospect Ave, Chicago, IL 60643]>","[41.710676027599064, -87.66250656553076]",Address,"10050 S Prospect Ave, Chicago, IL 60643"
1880,1600 W 101st St,"<[OK] Bing - Geocode [1600 W 101st St, Chicago, IL 60643]>","[41.7101184499298, -87.66365042474222]",Address,"1600 W 101st St, Chicago, IL 60643"
1881,W 24th St And S Pulaski Rd,"<[OK] Bing - Geocode [W 24th St & S Pulaski Rd, Chicago, IL 60623]>","[41.84791, -87.724656]",RoadIntersection,"W 24th St & S Pulaski Rd, Chicago, IL 60623"
1882,W Hollywood Ave And N Bernard St,"<[OK] Bing - Geocode [W Hollywood Ave & N Bernard St, Chicago, IL 60659]>","[41.984798, -87.715046]",RoadIntersection,"W Hollywood Ave & N Bernard St, Chicago, IL 60659"
1883,W 117th St And S Normal Ave,"<[OK] Bing - Geocode [W 117th St & S Normal Ave, Chicago, IL 60628]>","[41.6815342, -87.6348035]",RoadIntersection,"W 117th St & S Normal Ave, Chicago, IL 60628"
1884,S Ridgeway Ave And W 79th St,"<[OK] Bing - Geocode [S Ridgeway Ave & W 79th St, Chicago, IL 60652]>","[41.749678, -87.716168]",RoadIntersection,"S Ridgeway Ave & W 79th St, Chicago, IL 60652"
1885,E 109th St And S Dr Martin Luther King Jr Dr,"<[OK] Bing - Geocode [E 109th St & S Dr Martin Luther King Jr Dr, Chicago, IL 60628]>","[41.696366, -87.613478]",RoadIntersection,"E 109th St & S Dr Martin Luther King Jr Dr, Chicago, IL 60628"
1886,E 131st St And S Exchange Ave,"<[OK] Bing - Geocode [E 131st St & S Exchange Ave, Chicago, IL 60633]>","[41.657371, -87.551988]",RoadIntersection,"E 131st St & S Exchange Ave, Chicago, IL 60633"
1887,E 75th St And S Wabash Ave,"<[OK] Bing - Geocode [E 75th St & S Wabash Ave, Chicago, IL 60619]>","[41.758241, -87.623153]",RoadIntersection,"E 75th St & S Wabash Ave, Chicago, IL 60619"
1888,N Hamlin Ave And W Irving Park Rd,"<[OK] Bing - Geocode [N Hamlin Ave & W Irving Park Rd, Chicago, IL 60618]>","[41.953687, -87.722717]",RoadIntersection,"N Hamlin Ave & W Irving Park Rd, Chicago, IL 60618"
1889,N Karlov Ave And W Crystal St,"<[OK] Bing - Geocode [N Karlov Ave & W Crystal St, Chicago, IL 60651]>","[41.903573, -87.7288]",RoadIntersection,"N Karlov Ave & W Crystal St, Chicago, IL 60651"
1890,N Leclaire Ave And W Argyle St,"<[OK] Bing - Geocode [N Leclaire Ave & W Argyle St, Chicago, IL 60630]>","[41.9715888, -87.7551621]",RoadIntersection,"N Leclaire Ave & W Argyle St, Chicago, IL 60630"
1891,N Oriole Ave And W Ibsen St,"<[OK] Bing - Geocode [N Oriole Ave & W Ibsen St, Chicago, IL 60631]>","[42.0060043, -87.8164539]",RoadIntersection,"N Oriole Ave & W Ibsen St, Chicago, IL 60631"
1892,S Bennett Ave And E 74th St,"<[OK] Bing - Geocode [S Bennett Ave & E 74th St, Chicago, IL 60649]>","[41.760644, -87.579254]",RoadIntersection,"S Bennett Ave & E 74th St, Chicago, IL 60649"
1893,S Eggleston Ave And W 116th St,"<[OK] Bing - Geocode [S Eggleston Ave & W 116th St, Chicago, IL 60628]>","[41.683362, -87.633657]",RoadIntersection,"S Eggleston Ave & W 116th St, Chicago, IL 60628"
1894,S Lawndale Ave And W 59th St,"<[OK] Bing - Geocode [S Lawndale Ave & W 59th St, Chicago, IL 60629]>","[41.786065, -87.715607]",RoadIntersection,"S Lawndale Ave & W 59th St, Chicago, IL 60629"
1895,S Menard Ave And W 65th St,"<[OK] Bing - Geocode [S Menard Ave & W 65th St, Chicago, IL 60638]>","[41.7743, -87.766456]",RoadIntersection,"S Menard Ave & W 65th St, Chicago, IL 60638"
1896,S Normal Ave And W 44th St,"<[OK] Bing - Geocode [S Normal Ave & W 44th St, Chicago, IL 60609]>","[41.8144577, -87.6383832]",RoadIntersection,"S Normal Ave & W 44th St, Chicago, IL 60609"
1897,S Parnell Ave And W 43rd St,"<[OK] Bing - Geocode [S Parnell Ave & W 43rd St, Chicago, IL 60609]>","[41.8163068, -87.6393327]",RoadIntersection,"S Parnell Ave & W 43rd St, Chicago, IL 60609"
1898,S Prairie Ave And E 116th St,"<[OK] Bing - Geocode [S Prairie Ave & E 116th St, Chicago, IL 60628]>","[41.6825968, -87.6167358]",RoadIntersection,"S Prairie Ave & E 116th St, Chicago, IL 60628"
1899,S Prospect Ave And W 101st St,"<[OK] Bing - Geocode [S Prospect Ave & W 101st St, Chicago, IL 60643]>","[41.71009, -87.66238]",RoadIntersection,"S Prospect Ave & W 101st St, Chicago, IL 60643"
1900,S Yates Ave And E 100th St,"<[OK] Bing - Geocode [S Yates Ave, Chicago, IL 60409]>","[41.631159, -87.5640175999964]",RoadBlock,"S Yates Ave, Chicago, IL 60409"
1901,1600 W Beverly Glen Pkwy,"<[OK] Bing - Geocode [1600 W Beverly Glen Pkwy, Chicago, IL 60643]>","[41.712939027730926, -87.66420893873732]",Address,"1600 W Beverly Glen Pkwy, Chicago, IL 60643"
1902,S Keeler Ave And W 55th St,"<[OK] Bing - Geocode [S Keeler Ave & W 55th St, Chicago, IL 60632]>","[41.793185, -87.728032]",RoadIntersection,"S Keeler Ave & W 55th St, Chicago, IL 60632"
1903,W 101st Pl And S Prospect Ave,"<[OK] Bing - Geocode [W 101st Pl & S Prospect Ave, Chicago, IL 60643]>","[41.709001, -87.662322]",RoadIntersection,"W 101st Pl & S Prospect Ave, Chicago, IL 60643"
1904,S Ashland Ave And W 66th St,"<[OK] Bing - Geocode [S Ashland Ave & W 66th St, Chicago, IL 60636]>","[41.774017, -87.664155]",RoadIntersection,"S Ashland Ave & W 66th St, Chicago, IL 60636"
1905,W 66th St And S Justine St,"<[OK] Bing - Geocode [W 66th St & S Justine St, Chicago, IL 60636]>","[41.774028, -87.662861]",RoadIntersection,"W 66th St & S Justine St, Chicago, IL 60636"
1906,6601 S Ashland Ave,"<[OK] Bing - Geocode [6601 S Ashland Ave, Chicago, IL 60636]>","[41.773671, -87.663555]",Address,"6601 S Ashland Ave, Chicago, IL 60636"
1907,5600 W Adams Blvd,"<[OK] Bing - Geocode [5600 W Adams Blvd, Chicago, IL 60644]>","[41.87840802049183, -87.76448266524555]",Address,"5600 W Adams Blvd, Chicago, IL 60644"
1908,11501 S Homewood Ave,"<[OK] Bing - Geocode [11501 S Homewood Ave, Chicago, IL 60643]>","[41.68501361541992, -87.67050539778943]",Address,"11501 S Homewood Ave, Chicago, IL 60643"
1909,W Sunnyside Ave And N Lavergne Ave,"<[OK] Bing - Geocode [W Sunnyside Ave & N Lavergne Ave, Chicago, IL 60630]>","[41.9624932, -87.7524703]",RoadIntersection,"W Sunnyside Ave & N Lavergne Ave, Chicago, IL 60630"
1910,W 100th St And S Wood St,"<[OK] Bing - Geocode [W 100th St & S Wood St, Chicago, IL 60643]>","[41.712057, -87.667294]",RoadIntersection,"W 100th St & S Wood St, Chicago, IL 60643"
1911,S Halsted St And W 76th St,"<[OK] Bing - Geocode [S Halsted St & W 76th St, Chicago, IL 60620]>","[41.756095, -87.644186]",RoadIntersection,"S Halsted St & W 76th St, Chicago, IL 60620"
1912,W 92nd St And S Wentworth Ave,"<[OK] Bing - Geocode [W 92nd St & S Wentworth Ave, Chicago, IL 60620]>","[41.727138, -87.628762]",RoadIntersection,"W 92nd St & S Wentworth Ave, Chicago, IL 60620"
1913,W 56th St And S Keeler Ave,"<[OK] Bing - Geocode [W 56th St & S Keeler Ave, Chicago, IL 60629]>","[41.791391, -87.727985]",RoadIntersection,"W 56th St & S Keeler Ave, Chicago, IL 60629"
1914,S Throop St And W 95th St,"<[OK] Bing - Geocode [S Throop St & W 95th St, Chicago, IL 60620]>","[41.721361, -87.655395]",RoadIntersection,"S Throop St & W 95th St, Chicago, IL 60620"
1915,W 57th St And S Keeler Ave,"<[OK] Bing - Geocode [W 57th St & S Keeler Ave, Chicago, IL 60629]>","[41.78951, -87.7279276]",RoadIntersection,"W 57th St & S Keeler Ave, Chicago, IL 60629"
1916,W Foster Ave And N Sheridan Rd,"<[OK] Bing - Geocode [W Foster Ave & N Sheridan Rd, Chicago, IL 60640]>","[41.9763917, -87.6550122]",RoadIntersection,"W Foster Ave & N Sheridan Rd, Chicago, IL 60640"
1917,N Laporte Ave And W Sunnyside Ave,"<[OK] Bing - Geocode [N Laporte Ave & W Sunnyside Ave, Chicago, IL 60630]>","[41.962506, -87.751273]",RoadIntersection,"N Laporte Ave & W Sunnyside Ave, Chicago, IL 60630"
1918,W 81st St And S Racine Ave,"<[OK] Bing - Geocode [W 81st St & S Racine Ave, Chicago, IL 60620]>","[41.746846, -87.653654]",RoadIntersection,"W 81st St & S Racine Ave, Chicago, IL 60620"
1919,400 E 109th St,"<[OK] Bing - Geocode [400 E 109th St, Chicago, IL 60628]>","[41.696636, -87.613254]",Address,"400 E 109th St, Chicago, IL 60628"
1920,201 W 116th St,"<[OK] Bing - Geocode [201 W 116th St, Chicago, IL 60628]>","[41.68336496316702, -87.62923320407981]",Address,"201 W 116th St, Chicago, IL 60628"
1921,W 76th St And S Harvard Ave,"<[OK] Bing - Geocode [W 76th St & S Harvard Ave, Chicago, IL 60620]>","[41.75629, -87.632834]",RoadIntersection,"W 76th St & S Harvard Ave, Chicago, IL 60620"
1922,W 76th St And S Yale Ave,"<[OK] Bing - Geocode [W 76th St & S Yale Ave, Chicago, IL 60620]>","[41.756309, -87.631214]",RoadIntersection,"W 76th St & S Yale Ave, Chicago, IL 60620"
1923,E 69th St And S St Lawrence Ave,"<[OK] Bing - Geocode [E 69th St & S Saint Lawrence Ave, Chicago, IL 60637]>","[41.76937890000001, -87.61046285]",RoadIntersection,"E 69th St & S Saint Lawrence Ave, Chicago, IL 60637"
1924,E 54th Pl And S Dorchester Ave,"<[OK] Bing - Geocode [E 54th Pl & S Dorchester Ave, Chicago, IL 60615]>","[41.796587, -87.5917014]",RoadIntersection,"E 54th Pl & S Dorchester Ave, Chicago, IL 60615"
1925,E 54th St And S Dorchester Ave,"<[OK] Bing - Geocode [E 54th St & S Dorchester Ave, Chicago, IL 60615]>","[41.7980469, -87.5917431]",RoadIntersection,"E 54th St & S Dorchester Ave, Chicago, IL 60615"
1926,S Ridgewood Ct And E 55th St,"<[OK] Bing - Geocode [S Ridgewood Ct & E 55th St, Chicago, IL 60615]>","[41.795604, -87.591704]",RoadIntersection,"S Ridgewood Ct & E 55th St, Chicago, IL 60615"
1927,N Wolcott Ave And W Winnemac Ave,"<[OK] Bing - Geocode [N Wolcott Ave, Chicago, IL 60626]>","[42.0193747, -87.6776559500011]",RoadBlock,"N Wolcott Ave, Chicago, IL 60626"
1928,W Bryn Mawr Ave And N Kedzie Ave,"<[OK] Bing - Geocode [W Bryn Mawr Ave & N Kedzie Ave, Chicago, IL 60625]>","[41.983062, -87.708879]",RoadIntersection,"W Bryn Mawr Ave & N Kedzie Ave, Chicago, IL 60625"
1929,W Bryn Mawr Ave And N Jersey Ave,"<[OK] Bing - Geocode [W Bryn Mawr Ave & N Jersey Ave, Chicago, IL 60625]>","[41.983062, -87.708879]",RoadIntersection,"W Bryn Mawr Ave & N Jersey Ave, Chicago, IL 60625"
1930,S Emerald Ave And W 78th St,"<[OK] Bing - Geocode [S Emerald Ave & W 78th St, Chicago, IL 60620]>","[41.752483, -87.642861]",RoadIntersection,"S Emerald Ave & W 78th St, Chicago, IL 60620"
1931,612 W 77th St,"<[OK] Bing - Geocode [612 W 77th St, Chicago, IL 60620]>","[41.7543707, -87.640058]",Address,"612 W 77th St, Chicago, IL 60620"
1932,S Hoyne Ave And W Cermak Rd,"<[OK] Bing - Geocode [S Hoyne Ave & W Cermak Rd, Chicago, IL 60608]>","[41.85216, -87.6783015]",RoadIntersection,"S Hoyne Ave & W Cermak Rd, Chicago, IL 60608"
1933,S Austin Ave And W 59th St,"<[OK] Bing - Geocode [S Austin Ave & W 59th St, Chicago, IL 60638]>","[41.7852006, -87.7717542]",RoadIntersection,"S Austin Ave & W 59th St, Chicago, IL 60638"
1934,S Halsted St And W 31st St,"<[OK] Bing - Geocode [S Halsted St & W 31st St, Chicago, IL 60608]>","[41.838071, -87.646276]",RoadIntersection,"S Halsted St & W 31st St, Chicago, IL 60608"
1935,S Carpenter St And W 32nd Pl,"<[OK] Bing - Geocode [S Carpenter St & W 32nd Pl, Chicago, IL 60608]>","[41.8352477, -87.6522777]",RoadIntersection,"S Carpenter St & W 32nd Pl, Chicago, IL 60608"
1936,W 33rd Pl And S Morgan St,"<[OK] Bing - Geocode [W 33rd Pl & S Morgan St, Chicago, IL 60608]>","[41.833799, -87.651049]",RoadIntersection,"W 33rd Pl & S Morgan St, Chicago, IL 60608"
1937,S May St And W 34th Pl,"<[OK] Bing - Geocode [S May St, Chicago, IL 60643]>","[41.6822399000074, -87.6505797994173]",RoadBlock,"S May St, Chicago, IL 60643"
1938,W 32nd Pl And S May St,"<[OK] Bing - Geocode [W 32nd Pl & S May St, Chicago, IL 60608]>","[41.835205, -87.654716]",RoadIntersection,"W 32nd Pl & S May St, Chicago, IL 60608"
1939,S Aberdeen St And W 35th St,"<[OK] Bing - Geocode [S Aberdeen St & W 35th St, Chicago, IL 60608]>","[41.830681, -87.653393]",RoadIntersection,"S Aberdeen St & W 35th St, Chicago, IL 60608"
1940,W 35th St And S Racine Ave,"<[OK] Bing - Geocode [W 35th St & S Racine Ave, Chicago, IL 60609]>","[41.830648, -87.655722]",RoadIntersection,"W 35th St & S Racine Ave, Chicago, IL 60609"
1941,W 46th St And S Rockwell St,"<[OK] Bing - Geocode [W 46th St & S Rockwell St, Chicago, IL 60632]>","[41.810209, -87.689361]",RoadIntersection,"W 46th St & S Rockwell St, Chicago, IL 60632"
1942,W 47th St And S Kedzie Ave,"<[OK] Bing - Geocode [W 47th St & S Kedzie Ave, Chicago, IL 60632]>","[41.808134, -87.703972]",RoadIntersection,"W 47th St & S Kedzie Ave, Chicago, IL 60632"
1943,W 47th St And S Whipple St,"<[OK] Bing - Geocode [W 47th St & S Whipple St, Chicago, IL 60632]>","[41.808213, -87.700308]",RoadIntersection,"W 47th St & S Whipple St, Chicago, IL 60632"
1944,E 107th St And S Langley Ave,"<[OK] Bing - Geocode [E 107th St & S Langley Ave, Chicago, IL 60628]>","[41.7001108, -87.6062166]",RoadIntersection,"E 107th St & S Langley Ave, Chicago, IL 60628"
1945,S Langley Ave And E 106th St,"<[OK] Bing - Geocode [S Langley Ave & E 106th St, Chicago, IL 60628]>","[41.701945, -87.606293]",RoadIntersection,"S Langley Ave & E 106th St, Chicago, IL 60628"
1946,E 108th St And S Vernon Ave,"<[OK] Bing - Geocode [E 108th St & S Vernon Ave, Chicago, IL 60628]>","[41.698211, -87.612313]",RoadIntersection,"E 108th St & S Vernon Ave, Chicago, IL 60628"
1947,E 106th St And S Rhodes Ave,"<[OK] Bing - Geocode [E 106th St & S Rhodes Ave, Chicago, IL 60628]>","[41.701881, -87.609959]",RoadIntersection,"E 106th St & S Rhodes Ave, Chicago, IL 60628"
1948,S Keeler Ave And W 58th St,"<[OK] Bing - Geocode [S Keeler Ave & W 58th St, Chicago, IL 60629]>","[41.7876941, -87.727874]",RoadIntersection,"S Keeler Ave & W 58th St, Chicago, IL 60629"
1949,W 56th St And S Kedvale Ave,"<[OK] Bing - Geocode [W 56th St & S Kedvale Ave, Chicago, IL 60629]>","[41.791397, -87.726745]",RoadIntersection,"W 56th St & S Kedvale Ave, Chicago, IL 60629"
1950,S Parnell Ave And W 123rd St,"<[OK] Bing - Geocode [S Parnell Ave & W 123rd St, Chicago, IL 60628]>","[41.670596, -87.635668]",RoadIntersection,"S Parnell Ave & W 123rd St, Chicago, IL 60628"
1951,W Barry Ave And N Oriole Ave,"<[OK] Bing - Geocode [W Barry Ave & N Oriole Ave, Chicago, IL 60707]>","[41.936138, -87.816424]",RoadIntersection,"W Barry Ave & N Oriole Ave, Chicago, IL 60707"
1952,S Honore St And W 48th St,"<[OK] Bing - Geocode [S Honore St & W 48th St, Chicago, IL 60609]>","[41.806724, -87.671015]",RoadIntersection,"S Honore St & W 48th St, Chicago, IL 60609"
1953,W 45th St And S Wolcott Ave,"<[OK] Bing - Geocode [W 45th St & S Wolcott Ave, Chicago, IL 60609]>","[41.8121552, -87.6723347]",RoadIntersection,"W 45th St & S Wolcott Ave, Chicago, IL 60609"
1954,W 46th St And S Damen Ave,"<[OK] Bing - Geocode [W 46th St & S Damen Ave, Chicago, IL 60609]>","[41.8103654, -87.6745776]",RoadIntersection,"W 46th St & S Damen Ave, Chicago, IL 60609"
1955,N Mildred Ave And W Diversey Pkwy,"<[OK] Bing - Geocode [N Mildred Ave & W Diversey Pkwy, Chicago, IL 60614]>","[41.932693, -87.65142]",RoadIntersection,"N Mildred Ave & W Diversey Pkwy, Chicago, IL 60614"
1956,W Diversey Pkwy And N Halsted St,"<[OK] Bing - Geocode [W Diversey Pkwy & N Halsted St, Chicago, IL 60614]>","[41.932745, -87.64899]",RoadIntersection,"W Diversey Pkwy & N Halsted St, Chicago, IL 60614"
1957,E 98th St And S Escanaba Ave,"<[OK] Bing - Geocode [E 98th St & S Escanaba Ave, Chicago, IL 60617]>","[41.717297, -87.55376]",RoadIntersection,"E 98th St & S Escanaba Ave, Chicago, IL 60617"
1958,S Escanaba Ave And E 99th St,"<[OK] Bing - Geocode [S Escanaba Ave & E 99th St, Chicago, IL 60617]>","[41.715462, -87.5537308]",RoadIntersection,"S Escanaba Ave & E 99th St, Chicago, IL 60617"
1959,E 98th St And S Muskegon Ave,"<[OK] Bing - Geocode [E 98th St & S Muskegon Ave, Chicago, IL 60617]>","[41.717307, -87.555138]",RoadIntersection,"E 98th St & S Muskegon Ave, Chicago, IL 60617"
1960,W 60th St And S Nashville Ave,"<[OK] Bing - Geocode [W 60th St & S Nashville Ave, Chicago, IL 60638]>","[41.7830959, -87.7863762]",RoadIntersection,"W 60th St & S Nashville Ave, Chicago, IL 60638"
1961,W 60th St And S Neenah Ave,"<[OK] Bing - Geocode [W 60th St, Chicago, IL 60629]>","[41.784672100351, -87.6883975000049]",RoadBlock,"W 60th St, Chicago, IL 60629"
1962,W 46th St And S Lavergne Ave,"<[OK] Bing - Geocode [W 46th St & S Lavergne Ave, Chicago, IL 60638]>","[41.80937, -87.748053]",RoadIntersection,"W 46th St & S Lavergne Ave, Chicago, IL 60638"
1963,W 46th St And S Leamington Ave,"<[OK] Bing - Geocode [W 46th St & S Leamington Ave, Chicago, IL 60638]>","[41.809333, -87.751715]",RoadIntersection,"W 46th St & S Leamington Ave, Chicago, IL 60638"
1964,W 46th St And S Laramie Ave,"<[OK] Bing - Geocode [W 46th St & S Laramie Ave, Chicago, IL 60632]>","[41.8093145, -87.7528979]",RoadIntersection,"W 46th St & S Laramie Ave, Chicago, IL 60632"
1965,W 45th St And S Cicero Ave,"<[OK] Bing - Geocode [W 45th St & S Cicero Ave, Chicago, IL 60638]>","[41.8112736, -87.743318]",RoadIntersection,"W 45th St & S Cicero Ave, Chicago, IL 60638"
1966,E 128th St And S Torrence Ave,"<[OK] Bing - Geocode [E 128th St & S Torrence Ave, Chicago, IL 60633]>","[41.66284, -87.5587225]",RoadIntersection,"E 128th St & S Torrence Ave, Chicago, IL 60633"
1967,E 53rd St And S Cornell Ave,"<[OK] Bing - Geocode [E 53rd St & S Cornell Ave, Chicago, IL 60615]>","[41.799619, -87.585541]",RoadIntersection,"E 53rd St & S Cornell Ave, Chicago, IL 60615"
1968,N Newgard Ave And W Albion Ave,"<[OK] Bing - Geocode [N Newgard Ave & W Albion Ave, Chicago, IL 60626]>","[42.0017724, -87.6668521]",RoadIntersection,"N Newgard Ave & W Albion Ave, Chicago, IL 60626"
1969,N Octavia Ave And W Greenleaf Ave,"<[OK] Bing - Geocode [N Octavia Ave & W Greenleaf Ave, Chicago, IL 60631]>","[42.008919, -87.809108]",RoadIntersection,"N Octavia Ave & W Greenleaf Ave, Chicago, IL 60631"
1970,N Orange Ave And W Addison St,"<[OK] Bing - Geocode [N Orange Ave & W Addison St, Chicago, IL 60634]>","[41.945095, -87.824128]",RoadIntersection,"N Orange Ave & W Addison St, Chicago, IL 60634"
1971,N Pulaski Rd And W Diversey Ave,"<[OK] Bing - Geocode [N Pulaski Rd & W Diversey Ave, Chicago, IL 60618]>","[41.931814, -87.726984]",RoadIntersection,"N Pulaski Rd & W Diversey Ave, Chicago, IL 60618"
1972,N Racine Ave And W Chicago Ave,"<[OK] Bing - Geocode [N Racine Ave & W Chicago Ave, Chicago, IL 60642]>","[41.896259, -87.657521]",RoadIntersection,"N Racine Ave & W Chicago Ave, Chicago, IL 60642"
1973,N Ridgeway Ave And W George St,"<[OK] Bing - Geocode [N Ridgeway Ave & W George St, Chicago, IL 60618]>","[41.933715, -87.720913]",RoadIntersection,"N Ridgeway Ave & W George St, Chicago, IL 60618"
1974,N Sacramento Ave And W Farwell Ave,"<[OK] Bing - Geocode [N Sacramento Ave & W Farwell Ave, Chicago, IL 60645]>","[42.0056371, -87.7045991]",RoadIntersection,"N Sacramento Ave & W Farwell Ave, Chicago, IL 60645"
1975,N Sandburg Ter And W Germania Pl,"<[OK] Bing - Geocode [N Sandburg Terrace & W Germania Pl, Chicago, IL 60610]>","[41.9104131, -87.6324518]",RoadIntersection,"N Sandburg Terrace & W Germania Pl, Chicago, IL 60610"
1976,N Sheffield Ave And W Nelson St,"<[OK] Bing - Geocode [N Sheffield Ave & W Nelson St, Chicago, IL 60657]>","[41.937172, -87.654]",RoadIntersection,"N Sheffield Ave & W Nelson St, Chicago, IL 60657"
1977,N State St And W Chicago Ave,"<[OK] Bing - Geocode [N State St & W Chicago Ave, Chicago, IL 60654]>","[41.8966859, -87.6281876]",RoadIntersection,"N State St & W Chicago Ave, Chicago, IL 60654"
1978,N Trumbull Ave And W Chicago Ave,"<[OK] Bing - Geocode [N Trumbull Ave & W Chicago Ave, Chicago, IL 60624]>","[41.8955242, -87.7126651]",RoadIntersection,"N Trumbull Ave & W Chicago Ave, Chicago, IL 60624"
1979,N Washtenaw Ave And W Wabansia Ave,"<[OK] Bing - Geocode [N Washtenaw Ave & W Wabansia Ave, Chicago, IL 60647]>","[41.912075, -87.694581]",RoadIntersection,"N Washtenaw Ave & W Wabansia Ave, Chicago, IL 60647"
1980,S Avalon Ave And E 92nd St,"<[OK] Bing - Geocode [S Avalon Ave & E 92nd St, Chicago, IL 60619]>","[41.7276866, -87.5936989]",RoadIntersection,"S Avalon Ave & E 92nd St, Chicago, IL 60619"
1981,S Blue Island Ave And S Leavitt St,"<[OK] Bing - Geocode [S Blue Island Ave & S Leavitt St, Chicago, IL 60608]>","[41.8466804, -87.6806099]",RoadIntersection,"S Blue Island Ave & S Leavitt St, Chicago, IL 60608"
1982,S Calumet Ave And E Garfield Blvd,"<[OK] Bing - Geocode [S Calumet Ave & E Garfield Blvd, Chicago, IL 60615]>","[41.7948, -87.617582]",RoadIntersection,"S Calumet Ave & E Garfield Blvd, Chicago, IL 60615"
1983,S Clark St And W Harrison St,"<[OK] Bing - Geocode [S Clark St & W Harrison St, Chicago, IL 60605]>","[41.8745117, -87.6306724]",RoadIntersection,"S Clark St & W Harrison St, Chicago, IL 60605"
1984,S Desplaines St And W Madison St,"<[OK] Bing - Geocode [S Desplaines St & W Madison St, Chicago, IL 60661]>","[41.881815, -87.644116]",RoadIntersection,"S Desplaines St & W Madison St, Chicago, IL 60661"
1985,S Forrestville Ave And E 50th St,"<[OK] Bing - Geocode [S Forrestville Ave & E 50th St, Chicago, IL 60615]>","[41.803967, -87.612554]",RoadIntersection,"S Forrestville Ave & E 50th St, Chicago, IL 60615"
