,location_name,from,to,from_lat_long,to_lat_long
227,On W 53rd St From S Springfield Ave To S Hamlin Ave,W 53rd St And S Springfield Ave,W 53rd St And S Hamlin Ave,"[41.796948, -87.720798]","[41.796985, -87.718349]"
228,On W 53rd St From S Pulaski Rd To S Springfield Ave,W 53rd St And S Pulaski Rd,W 53rd St And S Springfield Ave,"[41.79688, -87.723145]","[41.796948, -87.720798]"
229,On N Mobile Ave From W Bloomingdale Ave To W Cortland St,N Mobile Ave And W Bloomingdale Ave,N Mobile Ave And W Cortland St,"[41.912847, -87.78253]","[41.9146608, -87.7821653]"
230,On W Cortland St From N Mobile Ave To N Mulligan Ave,W Cortland St And N Mobile Ave,W Cortland St And N Mulligan Ave,"[41.9146608, -87.7821653]","[41.91464, -87.783504]"
231,On N Mobile Ave From W Bloomingdale Ave To W Wabansia Ave,N Mobile Ave And W Bloomingdale Ave,N Mobile Ave And W Wabansia Ave,"[41.912847, -87.78253]","[41.910996, -87.783384]"
232,On W Wabansia Ave From N Mobile Ave To N Narragansett Ave,W Wabansia Ave And N Mobile Ave,W Wabansia Ave And N Narragansett Ave,"[41.910996, -87.783384]","[41.910967, -87.785024]"
233,On W 60th St From S Mobile Ave To S Merrimac Ave,W 60th St And S Mobile Ave,W 60th St And S Merrimac Ave,"[41.783207, -87.778928]","[41.783221, -87.77773]"
234,On W 60th St From S Nagle Ave To S Narragansett Ave,W 60th St And S Nagle Ave,W 60th St And S Narragansett Ave,"[41.7831479, -87.7827176]","[41.783176, -87.781467]"
235,On W 60th St From S Natchez Ave To S Nagle Ave,W 60th St And S Natchez Ave,W 60th St And S Nagle Ave,"[41.7831279, -87.7839139]","[41.7831479, -87.7827176]"
236,On W 60th St From S Normandy Ave To S Natoma Ave,W 60th St And S Normandy Ave,W 60th St And S Natoma Ave,"[41.7830719, -87.7888116]","[41.7830839, -87.7875778]"
237,On W 60th St From S Mulligan Ave To S Mobile Ave,W 60th St And S Mulligan Ave,W 60th St And S Mobile Ave,"[41.783192, -87.7802336]","[41.783207, -87.778928]"
238,On W 60th St From S Narragansett Ave To S Mulligan Ave,W 60th St And S Narragansett Ave,W 60th St And S Mulligan Ave,"[41.783176, -87.781467]","[41.783192, -87.7802336]"
239,On W 60th St From S Natoma Ave To S Nashville Ave,W 60th St And S Natoma Ave,W 60th St And S Nashville Ave,"[41.7830839, -87.7875778]","[41.7830959, -87.7863762]"
240,On W 60th St From S Rutherford Ave To S Normandy Ave,W 60th St And S Rutherford Ave,W 60th St And S Normandy Ave,"[41.7830439, -87.7900079]","[41.7830719, -87.7888116]"
241,6534-6600 W 60th St,6534 W 60th St,6600 W 60th St,"[41.7831607994285, -87.78446164282114]","[41.78311919638739, -87.78711958295126]"
242,On S Aberdeen St From W 105th St To W 104th Pl,S Aberdeen St And W 105th St,S Aberdeen St And W 104th Pl,"[41.703212, -87.649971]","[41.704087, -87.650003]"
243,On W 105th St From S Morgan St To S Sangamon St,W 105th St And S Morgan St,W 105th St And S Sangamon St,"[41.703231, -87.647567]","[41.703239, -87.646357]"
245,On W 105th St From S Green St To S Halsted St,W 105th St And S Green St,W 105th St And S Halsted St,"[41.703263, -87.643946]","[41.703282, -87.642793]"
246,On W 105th St From S Sangamon St To S Green St,W 105th St And S Sangamon St,W 105th St And S Green St,"[41.703239, -87.646357]","[41.703263, -87.643946]"
247,On W 100th St From S Normal Ave To S Emerald Ave,W 100th St And S Normal Ave,W 100th St And S Emerald Ave,"[41.712479, -87.6357]","[41.712407, -87.641767]"
248,On W 101st St From S Morgan St To S Green St,W 101st St And S Morgan St,W 101st St And S Green St,"[41.710493, -87.647775]","[41.71054, -87.64416]"
249,On S Calumet Ave From E 87th St To E 89th St,S Calumet Ave And E 87th St,S Calumet Ave And E 89th St,"[41.736476, -87.61616]","[41.732831, -87.616056]"
251,On S Eberhart Ave From E 87th St To E 89th St,S Eberhart Ave And E 87th St,S Eberhart Ave And E 89th St,"[41.7365419, -87.6120975]","[41.732882, -87.612022]"
252,On E 102nd Pl From S State St To S Michigan Ave,E 102nd Pl And S State St,E 102nd Pl And S Michigan Ave,"[41.708083, -87.623554]","[41.708131, -87.620077]"
253,On W 102nd St From S Perry Ave To S La Salle St,W 102nd St And S Perry Ave,W 102nd St And S La Salle St,"[41.708943, -87.625956]","[41.708939, -87.627158]"
254,On W 99th St From S La Salle St To S State St,W 99th St And S La Salle St,W 99th St And S State St,"[41.714398, -87.627293]","[41.71435, -87.623508]"
256,On S Perry Ave From W 101st St To W 102nd St,S Perry Ave And W 101st St,S Perry Ave And W 102nd St,"[41.710774, -87.6259925]","[41.708943, -87.625956]"
257,On W 102nd St From S Perry Ave To S Lafayette Ave,W 102nd St And S Perry Ave,W 102nd St And S Lafayette Ave,"[41.708943, -87.625956]","[41.708975, -87.624785]"
258,On W 99th St From S Wentworth Ave To S La Salle St,W 99th St And S Wentworth Ave,W 99th St And S La Salle St,"[41.714155, -87.628545]","[41.714398, -87.627293]"
259,On N Keeler Ave From W Augusta Blvd To W Walton St,N Keeler Ave And W Augusta Blvd,N Keeler Ave And W Walton St,"[41.898961, -87.731123]","[41.898023, -87.7310892]"
260,On W Augusta Blvd From N Karlov Ave To N Keeler Ave,W Augusta Blvd And N Karlov Ave,W Augusta Blvd And N Keeler Ave,"[41.899003, -87.728654]","[41.898961, -87.731123]"
262,On N Keeler Ave From W Thomas St To W Walton St,N Keeler Ave And W Thomas St,N Keeler Ave And W Walton St,"[41.9008114, -87.731172]","[41.898023, -87.7310892]"
263,On W Augusta Blvd From N Pulaski Rd To N Karlov Ave,W Augusta Blvd And N Pulaski Rd,W Augusta Blvd And N Karlov Ave,"[41.899051, -87.726194]","[41.899003, -87.728654]"
264,On S Western Ave From W 116th St To W 118th St,S Western Ave And W 116th St,S Western Ave And W 118th St,"[41.682726, -87.680803]","[41.678956, -87.680822]"
265,On W 116th St From S Campbell Ave To S Maplewood Ave,W 116th St And S Campbell Ave,W 116th St And S Maplewood Ave,"[41.682692, -87.683338]","[41.6826856, -87.684571]"
266,On W 118th St From S Artesian Ave To S Maplewood Ave,W 118th St And S Artesian Ave,W 118th St And S Maplewood Ave,"[41.6791, -87.681998]","[41.6790503, -87.6844434]"
267,On W 116th St From S Artesian Ave To S Campbell Ave,W 116th St And S Artesian Ave,W 116th St And S Campbell Ave,"[41.682713, -87.682111]","[41.682692, -87.683338]"
268,On W 116th St From S Western Ave To S Artesian Ave,W 116th St And S Western Ave,W 116th St And S Artesian Ave,"[41.68273, -87.680947]","[41.682713, -87.682111]"
269,On W 118th St From S Western Ave To S Artesian Ave,W 118th St And S Western Ave,W 118th St And S Artesian Ave,"[41.679109, -87.680833]","[41.6791, -87.681998]"
270,On E 96th St From S Luella Ave To S Brennan Ave,E 96th St And S Luella Ave,E 96th St And S Brennan Ave,"[41.721317, -87.568916]","[41.721326, -87.567908]"
271,On E 97th St From S Crandon Ave To S Luella Ave,E 97th St And S Crandon Ave,E 97th St And S Luella Ave,"[41.718649, -87.567153]","[41.718431, -87.569318]"
272,On E 98th St From S Oglesby Ave To S Crandon Ave,E 98th St And S Oglesby Ave,E 98th St And S Crandon Ave,"[41.716083, -87.56606]","[41.716548, -87.566769]"
273,On S Oglesby Ave From E 98th St To E 99th St,S Oglesby Ave And E 98th St,S Oglesby Ave And E 99th St,"[41.716083, -87.56606]","[41.71532, -87.565831]"
274,On E 96th St From S Luella Ave To S Merrion Ave,E 96th St And S Luella Ave,E 96th St And S Merrion Ave,"[41.721317, -87.568916]","[41.721301, -87.569932]"
275,On E 97th St From S Oglesby Ave To S Crandon Ave,E 97th St And S Oglesby Ave,E 97th St And S Crandon Ave,"[41.718447, -87.566339]","[41.718649, -87.567153]"
276,On S Luella Ave From E 97th St To E 96th St,S Luella Ave And E 97th St,S Luella Ave And E 96th St,"[41.718431, -87.569318]","[41.721317, -87.568916]"
278,On N Kimball Ave From W Peterson Ave To W Granville Ave,N Kimball Ave And W Peterson Ave,N Kimball Ave And W Granville Ave,"[41.99035, -87.714006]","[41.9937928, -87.7141168]"
279,On W Granville Ave From N Ridgeway Ave To N Monticello Ave,W Granville Ave And N Ridgeway Ave,W Granville Ave And N Monticello Ave,"[41.9937239, -87.7226875]","[41.9937418, -87.7202064]"
280,On N Lawndale Ave From W Peterson Ave To W Granville Ave,N Lawndale Ave And W Peterson Ave,N Lawndale Ave And W Granville Ave,"[41.9902878, -87.7213639]","[41.9937219, -87.7214242]"
282,On S Leavitt St From W 101st St To W 102nd St,S Leavitt St And W 101st St,S Leavitt St And W 102nd St,"[41.7100922, -87.6768799]","[41.708256, -87.676869]"
283,On W 101st St From S Hoyne Ave To S Bell Ave,W 101st St And S Hoyne Ave,W 101st St And S Bell Ave,"[41.7101522, -87.6744814]","[41.7100681, -87.6781023]"
285,On W 101st St From S Damen Ave To S Hoyne Ave,W 101st St And S Damen Ave,W 101st St And S Hoyne Ave,"[41.710202, -87.6720715]","[41.7101522, -87.6744814]"
288,On E 75th St From S Langley Ave To S Cottage Grove Ave,E 75th St And S Langley Ave,E 75th St And S Cottage Grove Ave,"[41.758519, -87.607855]","[41.75857, -87.605404]"
289,On S Evans Ave From E 74th St To E 75th St,S Evans Ave And E 74th St,S Evans Ave And E 75th St,"[41.760365, -87.606687]","[41.758542, -87.606638]"
290,On E 75th St From S Rhodes Ave To S Champlain Ave,E 75th St And S Rhodes Ave,E 75th St And S Champlain Ave,"[41.758454, -87.611489]","[41.758495, -87.609052]"
291,On E 96th St From S Avalon Ave To S Woodlawn Ave,E 96th St And S Avalon Ave,E 96th St And S Woodlawn Ave,"[41.720361, -87.593497]","[41.720347, -87.594743]"
292,On S Avalon Ave From E 97th St To E 96th St,S Avalon Ave And E 97th St,S Avalon Ave And E 96th St,"[41.718661, -87.593441]","[41.720361, -87.593497]"
293,On E 97th St From S Dobson Ave To S Avalon Ave,E 97th St And S Dobson Ave,E 97th St And S Avalon Ave,"[41.718789, -87.598287]","[41.718846, -87.593445]"
294,On S Woodlawn Ave From E 97th St To E 96th St,S Woodlawn Ave And E 97th St,S Woodlawn Ave And E 96th St,"[41.718837, -87.594684]","[41.720347, -87.594743]"
295,On E 92nd St From S Anthony Ave To S Essex Ave,E 92nd St And S Anthony Ave,E 92nd St And S Essex Ave,"[41.728186, -87.556381]","[41.728084, -87.563336]"
296,On E 92nd St From S Saginaw Ave To S Colfax Ave,E 92nd St And S Saginaw Ave,E 92nd St And S Colfax Ave,"[41.72812, -87.559512]","[41.728094, -87.560884]"
297,On E 95th Pl From S Calhoun Ave To S Oglesby Ave,E 95th Pl And S Calhoun Ave,E 95th Pl And S Oglesby Ave,"[41.721601, -87.562428]","[41.722577, -87.565904]"
298,2400-2500 E 95th St,2400 E 95th St,2500 E 95th St,"[41.722266, -87.564102]","[41.723107, -87.557377]"
299,On E 80th St From S Jeffery Blvd To S Chappel Ave,E 80th St And S Jeffery Blvd,E 80th St And S Chappel Ave,"[41.749793, -87.575957]","[41.749806, -87.574722]"
300,On E 82nd St From S Chappel Ave To S Euclid Ave,E 82nd St And S Chappel Ave,E 82nd St And S Euclid Ave,"[41.746173, -87.574639]","[41.746133, -87.577054]"
301,On S Jeffery Blvd From E 79th St To E 80th St,S Jeffery Blvd And E 79th St,S Jeffery Blvd And E 80th St,"[41.751608, -87.575975]","[41.749793, -87.575957]"
302,On E 80th St From S Jeffery Blvd To S Euclid Ave,E 80th St And S Jeffery Blvd,E 80th St And S Euclid Ave,"[41.749793, -87.575957]","[41.749779, -87.577158]"
303,On E 82nd St From S Euclid Ave To S South Chicago Ave,E 82nd St And S Euclid Ave,E 82nd St And S South Chicago Ave,"[41.746133, -87.577054]","[41.7460711, -87.5780236]"
304,On S Merrill Ave From E 81st St To E 82nd St,S Merrill Ave And E 81st St,S Merrill Ave And E 82nd St,"[41.747996, -87.572251]","[41.74619, -87.572284]"
305,On E 110th St From S Avenue L To S State Line Rd,E 110th St And S Avenue L,E 110th St And S State Line Rd,"[41.695481, -87.536465]","[41.695418, -87.524625]"
306,On S Avenue L From E 107th St To E 109th St,S Avenue L And E 107th St,S Avenue L And E 109th St,"[41.7009339, -87.5364927]","[41.697294, -87.536474]"
307,On E 110th St From S Avenue O To S Avenue B,E 110th St And S Avenue O,E 110th St And S Avenue B,"[41.695493, -87.540106]","[41.695429, -87.525812]"
308,On E 92nd Pl From S St Lawrence Ave To S Cottage Grove Ave,E 92nd Pl And S St Lawrence Ave,E 92nd Pl And S Cottage Grove Ave,"[41.7265458, -87.6094193]","[41.72662, -87.604675]"
309,On S St Lawrence Ave From E 92nd Pl To E 91st Pl,S St Lawrence Ave And E 92nd Pl,S St Lawrence Ave And E 91st Pl,"[41.7265458, -87.6094193]","[41.7283613, -87.609464]"
310,On E 92nd St From S Eberhart Ave To S St Lawrence Ave,E 92nd St And S Eberhart Ave,E 92nd St And S St Lawrence Ave,"[41.7274151, -87.6118764]","[41.7274443, -87.6094247]"
311,On N Hiawatha Ave From N Forest Glen Ave To N Kilpatrick Ave,N Hiawatha Ave And N Forest Glen Ave,N Hiawatha Ave And N Kilpatrick Ave,"[41.9902461, -87.742291]","[41.9916767, -87.7454214]"
312,On W Peterson Ave From N Kilbourn Ave To N Forest Glen Ave,W Peterson Ave And N Kilbourn Ave,W Peterson Ave And N Forest Glen Ave,"[41.9900412, -87.7408028]","[41.9900214, -87.7424804]"
313,On N Leoti Ave From N Spokane Ave To N Le Mai Ave,N Leoti Ave And N Spokane Ave,N Leoti Ave And N Le Mai Ave,"[41.9968845, -87.7611487]","[41.9954399, -87.7580216]"
314,On W Devon Ave From N Caldwell Ave To N Spokane Ave,W Devon Ave And N Caldwell Ave,W Devon Ave And N Spokane Ave,"[41.997316, -87.766935]","[41.997336, -87.760727]"
315,On N Drake Ave From W Huron St To W Chicago Ave,N Drake Ave And W Huron St,N Drake Ave And W Chicago Ave,"[41.893657, -87.71508]","[41.8955005, -87.715094]"
316,On W Chicago Ave From N St Louis Ave To N Central Park Ave,W Chicago Ave And N St Louis Ave,W Chicago Ave And N Central Park Ave,"[41.895518, -87.713906]","[41.89549, -87.716349]"
317,On W Augusta Blvd From N Trumbull Ave To N Drake Ave,W Augusta Blvd And N Trumbull Ave,W Augusta Blvd And N Drake Ave,"[41.899152, -87.712796]","[41.8991334, -87.7152232]"
318,On S Bishop St From W 85th St To W 86th St,S Bishop St And W 85th St,S Bishop St And W 86th St,"[41.739474, -87.659503]","[41.737652, -87.659468]"
319,On W 86th St From S Bishop St To S Justine St,W 86th St And S Bishop St,W 86th St And S Justine St,"[41.737652, -87.659468]","[41.737632, -87.661916]"
320,On W 86th St From S Racine Ave To S Throop St,W 86th St And S Racine Ave,W 86th St And S Throop St,"[41.737744, -87.653399]","[41.737705, -87.655834]"
321,On S Racine Ave From W 85th St To W 86th St,S Racine Ave And W 85th St,S Racine Ave And W 86th St,"[41.739565, -87.653451]","[41.737744, -87.653399]"
322,On W 86th St From S Bishop St To S Loomis Blvd,W 86th St And S Bishop St,W 86th St And S Loomis Blvd,"[41.737652, -87.659468]","[41.737675, -87.658266]"
323,On N Rockwell St From N Lincoln Ave To W Rascher Ave,N Rockwell St And N Lincoln Ave,N Rockwell St And W Rascher Ave,"[41.982692, -87.694299]","[41.980412, -87.694208]"
327,On S Cottage Grove Ave From E 41st St To E 43rd St,S Cottage Grove Ave And E 41st St,S Cottage Grove Ave And E 43rd St,"[41.820526, -87.606802]","[41.816843, -87.606696]"
329,6858-7044 N Octavia Ave,6858 N Octavia Ave,7044 N Octavia Ave,"[42.00595759154098, -87.80920529095853]","[42.008684471711774, -87.80918020424987]"
330,On N Odell Ave From W Ibsen St To W Estes Ave,N Odell Ave And W Ibsen St,N Odell Ave And W Estes Ave,"[42.00637895, -87.81096245]","[42.009793, -87.8109518]"
331,On W Diversey Pkwy From N Sheffield Ave To N Seminary Ave,W Diversey Pkwy And N Sheffield Ave,W Diversey Pkwy And N Seminary Ave,"[41.93267, -87.653845]","[41.932628, -87.656279]"
333,On E 72nd St From S Phillips Ave To S Exchange Ave,E 72nd St And S Phillips Ave,E 72nd St And S Exchange Ave,"[41.764439, -87.565772]","[41.764481, -87.565161]"
334,On S Kingston Ave From E 74th St To E 75th St,S Kingston Ave And E 74th St,S Kingston Ave And E 75th St,"[41.76086, -87.563224]","[41.759041, -87.56274]"
335,On S Colfax Ave From E 74th St To E 75th St,S Colfax Ave And E 74th St,S Colfax Ave And E 75th St,"[41.760847, -87.562493]","[41.7590531, -87.5615821]"
336,On S Perry Ave From W 112th Pl To W 114th St,S Perry Ave And W 112th Pl,S Perry Ave And W 114th St,"[41.689832, -87.62575]","[41.687107, -87.625657]"
337,On W 112th Pl From S Perry Ave To S State St,W 112th Pl And S Perry Ave,W 112th Pl And S State St,"[41.689832, -87.62575]","[41.689868, -87.623033]"
338,On S State St From W 112th St To W 111th St,S State St And W 112th St,S State St And W 111th St,"[41.690774, -87.623056]","[41.692582, -87.623105]"
339,On W 113th Pl From S Wentworth Ave To S Perry Ave,W 113th Pl And S Wentworth Ave,W 113th Pl And S Perry Ave,"[41.687974, -87.627781]","[41.6880192, -87.6256916]"
340,On E 104th St From S Avenue O To S Avenue E,E 104th St And S Avenue O,E 104th St And S Avenue E,"[41.706372, -87.540135]","[41.70638, -87.529201]"
341,On S Avenue E From E 104th St To E 105th St,S Avenue E And E 104th St,S Avenue E And E 105th St,"[41.70638, -87.529201]","[41.704543, -87.529207]"
342,On E 96th St From S Houston Ave To S Marquette Ave,E 96th St And S Houston Ave,E 96th St And S Marquette Ave,"[41.720949, -87.549677]","[41.720853, -87.55798]"
343,On S Peoria St From W 128th Pl To W Vermont St,S Peoria St And W 128th Pl,S Peoria St And W Vermont St,"[41.660452, -87.643757]","[41.66139, -87.643805]"
344,On W 128th Pl From S Halsted St To S Emerald Ave,W 128th Pl And S Halsted St,W 128th Pl And S Emerald Ave,"[41.660454, -87.64127]","[41.660472, -87.640121]"
345,On W Vermont St From S Sangamon St To S Morgan St,W Vermont St And S Sangamon St,W Vermont St And S Morgan St,"[41.661087, -87.64501]","[41.660829, -87.646218]"
346,On W 128th Pl From S Emerald Ave To S Lowe Ave,W 128th Pl And S Emerald Ave,W 128th Pl And S Lowe Ave,"[41.660472, -87.640121]","[41.660502, -87.637744]"
347,On W 128th Pl From S Lowe Ave To S Wallace St,W 128th Pl And S Lowe Ave,W 128th Pl And S Wallace St,"[41.660502, -87.637744]","[41.66053, -87.636544]"
348,On S Homan Ave From W 53rd Pl To W 54th Pl,S Homan Ave And W 53rd Pl,S Homan Ave And W 54th Pl,"[41.7961971, -87.708501]","[41.794377, -87.708448]"
349,On W 54th St From S Spaulding Ave To S Christiana Ave,W 54th St And S Spaulding Ave,W 54th St And S Christiana Ave,"[41.795337, -87.706047]","[41.795302, -87.70725]"
350,On W 54th St From S Homan Ave To S St Louis Ave,W 54th St And S Homan Ave,W 54th St And S St Louis Ave,"[41.7952751, -87.7084527]","[41.7952034, -87.7109268]"
351,On E 80th St From S Eberhart Ave To S Rhodes Ave,E 80th St And S Eberhart Ave,E 80th St And S Rhodes Ave,"[41.749315, -87.612468]","[41.749358, -87.611257]"
352,On E 80th St From S Rhodes Ave To S St Lawrence Ave,E 80th St And S Rhodes Ave,E 80th St And S St Lawrence Ave,"[41.749358, -87.611257]","[41.749372, -87.610035]"
353,On E 81st St From S Vernon Ave To S Evans Ave,E 81st St And S Vernon Ave,E 81st St And S Evans Ave,"[41.7474205, -87.6136365]","[41.7476564, -87.6063498]"
354,On E 80th St From S Evans Ave To S Champlain Ave,E 80th St And S Evans Ave,E 80th St And S Champlain Ave,"[41.749415, -87.606412]","[41.7493941, -87.6088165]"
355,On E 80th St From S Vernon Ave To S Eberhart Ave,E 80th St And S Vernon Ave,E 80th St And S Eberhart Ave,"[41.749307, -87.613657]","[41.749315, -87.612468]"
356,On N Northwest Hwy From N Oshkosh Ave To N Ozark Ave,N Northwest Hwy And N Oshkosh Ave,N Northwest Hwy And N Ozark Ave,"[42.003461, -87.817251]","[42.005239, -87.820042]"
357,On N Ozark Ave From N Northwest Hwy To N Olmsted Ave,N Ozark Ave And N Northwest Hwy,N Ozark Ave And N Olmsted Ave,"[42.005239, -87.820042]","[42.004355, -87.820983]"
358,On N Olympia Ave From N Oketo Ave To N Northwest Hwy,N Olympia Ave And N Oketo Ave,N Olympia Ave And N Northwest Hwy,"[42.0040192, -87.8115569]","[42.0016132, -87.8143258]"
