,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
1752,[170 -04] 37898,On W Lexington St From S Laflin St To S Loomis St,2016-2020,W Lexington St And S Laflin St,W Lexington St And S Loomis St,"[41.8725152, -87.6641578]","[41.8725447, -87.6617323]"
1753,[170 -04] 37898,On S Harvard Ave From W 71st St To W 73rd St,2016-2020,S Harvard Ave And W 71st St,S Harvard Ave And W 73rd St,"[41.765383, -87.633442]","[41.76174, -87.633373]"
1754,[170 -04] 37898,On S Homan Ave From W 112th Pl To W 115th St,2016-2020,S Homan Ave And W 112th Pl,S Homan Ave And W 115th St,"[41.6887335, -87.7056054]","[41.684193, -87.705427]"
1755,[170 -04] 37898,On S Hoyne Ave From W 35th St To W 37th St,2016-2020,S Hoyne Ave And W 35th St,S Hoyne Ave And W 37th St,"[41.830427, -87.677747]","[41.830459, -87.677749]"
1756,[170 -04] 37898,On S Iron St From W 34th St To W 35th St,2016-2020,S Iron St And W 34th St,S Iron St And W 35th St,"[41.8323577, -87.6605181]","[41.830599, -87.659311]"
1757,[170 -04] 37898,On S Karlov Ave From W 84th St To W 85th St,2016-2020,S Karlov Ave And W 84th St,S Karlov Ave And W 85th St,"[41.740322, -87.724039]","[41.7384821, -87.7239835]"
1758,[170 -04] 37898,On S Komensky Ave From W 85th St To W 86th St,2016-2020,S Komensky Ave And W 85th St,S Komensky Ave And W 86th St,"[41.738496, -87.722776]","[41.7366736, -87.7226807]"
1759,[170 -04] 37898,On S Laflin St From W Madison St To W Monroe St,2016-2020,S Laflin St And W Madison St,S Laflin St And W Monroe St,"[41.881451, -87.664424]","[41.880231, -87.664397]"
1760,[170 -04] 37898,On S Loomis Blvd From W 85th St To W 87th St,2016-2020,S Loomis Blvd And W 85th St,S Loomis Blvd And W 87th St,"[41.739497, -87.65831]","[41.735803, -87.658216]"
1761,[170 -04] 37898,On S Maryland Ave From E 86th St To E 87th St,2016-2020,S Maryland Ave And E 86th St,S Maryland Ave And E 87th St,"[41.738477, -87.603669]","[41.736666, -87.603622]"
1762,[170 -04] 37898,On S Menard Ave From W 57th St To W 58th St,2016-2020,S Menard Ave And W 57th St,S Menard Ave And W 58th St,"[41.788948, -87.766943]","[41.787123, -87.766965]"
1763,[170 -04] 37898,On W 50th St From S Loomis Blvd To S Racine Ave,2016-2020,W 50th St And S Loomis Blvd,W 50th St And S Racine Ave,"[41.803231, -87.659955]","[41.803307, -87.655094]"
1764,[170 -04] 37898,On S Michigan Ave From E 77th St To E 78th St,2016-2020,S Michigan Ave And E 77th St,S Michigan Ave And E 78th St,"[41.754651, -87.621462]","[41.752829, -87.621419]"
1765,[170 -04] 37898,On S New England Ave From W 51st St To W 52nd St,2016-2020,S New England Ave And W 51st St,S New England Ave And W 52nd St,"[41.7994507, -87.7941522]","[41.7976863, -87.7941626]"
1766,[170 -04] 37898,On S Oak Park Ave From W 51st St To W 52nd St,2016-2020,S Oak Park Ave And W 51st St,S Oak Park Ave And W 52nd St,"[41.7994888, -87.7917559]","[41.7977083, -87.7917199]"
1767,[170 -04] 37898,On S Racine Ave From W 31st St To W 33rd St,2016-2020,S Racine Ave And W 31st St,S Racine Ave And W 33rd St,"[41.837935, -87.656016]","[41.834273, -87.655902]"
1768,[170 -04] 37898,On S Rutherford Ave From W 51st St To W 52nd St,2016-2020,S Rutherford Ave And W 51st St,S Rutherford Ave And W 52nd St,"[41.7995428, -87.7904815]","[41.7977357, -87.7905068]"
1769,[170 -04] 37898,On S South Chicago Ave From E 71st St To S Drexel Ave,2016-2020,S South Chicago Ave And E 71st St,S South Chicago Ave And S Drexel Ave,"[41.7656871, -87.60506795]","[41.88322830200195, -87.63240051269531]"
1770,[170 -04] 37898,On S State St From W 113th St To W 114th St,2016-2020,S State St And W 113th St,S State St And W 114th St,"[41.68896, -87.623007]","[41.687136, -87.622959]"
1771,[170 -04] 37898,On S Vernon Ave From E 69th St To E 70th St,2016-2020,S Vernon Ave And E 69th St,S Vernon Ave And E 70th St,"[41.769347, -87.61415]","[41.767528, -87.61409]"
1772,[170 -04] 37898,On S Wallace St From W 76th St To W 77th St,2016-2020,S Wallace St And W 76th St,S Wallace St And W 77th St,"[41.756159, -87.639919]","[41.754349, -87.639858]"
1773,[170 -04] 37898,On S Wentworth Ave From W 71st St To W 73rd St,2016-2020,S Wentworth Ave And W 71st St,S Wentworth Ave And W 73rd St,"[41.765448, -87.629771]","[41.7618944, -87.62960290000001]"
1774,[170 -04] 37898,On S Woodlawn Ave From E 69th St To E 71st St,2016-2020,S Woodlawn Ave And E 69th St,S Woodlawn Ave And E 71st St,"[41.7698829, -87.5952618]","[41.765992, -87.59516]"
1775,[170 -04] 37898,On W 31st St From S Wood St To S Damen Ave,2016-2020,W 31st St And S Wood St,W 31st St And S Damen Ave,"[41.837721, -87.670564]","[41.83764, -87.675491]"
1776,[170 -04] 37898,On S Morgan St From W 75th St To W 77th St,2016-2020,S Morgan St And W 75th St,S Morgan St And W 77th St,"[41.757679, -87.649083]","[41.754206, -87.648999]"
1777,[170 -04] 37898,On W Madison St From N California Ave To N Francisco Ave,2016-2020,W Madison St And N California Ave,W Madison St And N Francisco Ave,"[41.881094, -87.696308]","[41.8810754, -87.6987378]"
1778,[170 -04] 37898,On W Madison St From N Homan Blvd To S St Louis Ave,2016-2020,W Madison St And N Homan Blvd,W Madison St And S St Louis Ave,"[41.88094, -87.711019]","[41.8808972, -87.7135859]"
1779,[170 -04] 37898,3900-4000 S Ashland Ave,2016-2020,3900 S Ashland Ave,4000 S Ashland Ave,"[41.822585, -87.666444]","[41.8205445, -87.6648972]"
1780,[170 -04] 37898,7300-7422 S Campbell Ave,2016-2020,7300 S Campbell Ave,7422 S Campbell Ave,"[41.760875, -87.685944]","[41.7584688, -87.6856983]"
1781,[170 -04] 37898,7024-7100 S Euclid Ave,2016-2020,7024 S Euclid Ave,7100 S Euclid Ave,"[41.767163, -87.577919]","[41.76592121113828, -87.57815438525434]"
1782,[170 -04] 37898,5548 S Kostner Ave,2016-2020,5548 S Kostner Ave,,"[41.791686, -87.733272]",
1783,[170 -04] 37898,7246-7300 S Luella Ave,2016-2020,7246 S Luella Ave,7300 S Luella Ave,"[41.762942, -87.570444]","[41.76243, -87.570426]"
1784,[170 -04] 37898,7332-7412 S St Louis Ave,2016-2020,7332 S St Louis Ave,7412 S St Louis Ave,"[41.75955864023469, -87.71006466753867]","[41.75865919796405, -87.7100328594011]"
1785,[170 -04] 37898,7100-7135 S Union Ave,2016-2020,7100 S Union Ave,7135 S Union Ave,"[41.764991, -87.641944]","[41.764175, -87.641086]"
1786,[170 -04] 37898,3522-3552 W 74th St,2016-2020,3522 W 74th St,3552 W 74th St,"[41.759054, -87.710986]","[41.759039, -87.712025]"
1787,[170 -04] 37898,3725-3800 W 84th Pl,2016-2020,3725 W 84th Pl,3800 W 84th Pl,"[41.740154, -87.71529]","[41.739775, -87.71698]"
1788,[170 -04] 37898,7300-7422 W Campbell Av,2016-2020,7300 W Campbell Av,7422 W Campbell Av,"[41.760875, -87.685944]","[41.7584688, -87.6856983]"
1789,[170 -04] 37898,7411-7464 W Catalpa Ave,2016-2020,7411 W Catalpa Ave,7464 W Catalpa Ave,"[41.979097, -87.812454]","[41.979522, -87.814331]"
1790,[170 -04] 37898,7500-7542 W Devon Ave,2016-2020,7500 W Devon Ave,7542 W Devon Ave,"[41.99734, -87.813761]","[41.997301, -87.815279]"
1791,[170 -04] 37898,5700-6342 W Grace St,2016-2020,5700 W Grace St,6342 W Grace St,"[41.949759, -87.769516]","[41.949566, -87.785718]"
1792,[170 -04] 37898,2000-2344 W Kinzie St,2016-2020,2000 W Kinzie St,2344 W Kinzie St,"[41.888733, -87.677305]","[41.8886211002893, -87.68564540092879]"
1793,[170 -04] 37898,2300-2424 W Medill Ave,2016-2020,2300 W Medill Ave,2424 W Medill Ave,"[41.9242067, -87.6855]","[41.924222, -87.688628]"
1794,[170 -04] 37898,4236-4400 N Whipple St,2016-2020,4236 N Whipple St,4400 N Whipple St,"[41.958679, -87.704808]","[41.961299, -87.704746]"
1795,[170 -04] 37898,4812-4900 W Patterson Ave,2016-2020,4812 W Patterson Ave,4900 W Patterson Ave,"[41.947098303091856, -87.74753930508709]","[41.947179, -87.749818]"
1796,[170 -04] 37898,22-100 N Sangamon St,2016-2020,22 N Sangamon St,100 N Sangamon St,"[41.882565, -87.6513817]","[41.883242, -87.651066]"
1797,[170 -04] 37898,1800-1945 N Nordica Ave,2016-2020,1800 N Nordica Ave,1945 N Nordica Ave,"[41.912656, -87.80269]","[41.915716, -87.801808]"
1798,[170 -04] 37898,On W Maypole Ave From N Karlov Ave To N Pulaski Rd,2016-2020,W Maypole Ave And N Karlov Ave,W Maypole Ave And N Pulaski Rd,"[41.88467, -87.726998]","[41.884687, -87.725753]"
1799,[170 -04] 37898,On W Mclean Ave From N Humboldt Blvd East To N Mozart St,2016-2020,W Mclean Ave And N Humboldt Blvd East,W Mclean Ave And N Mozart St,"[41.918499, -87.701508]","[41.918545, -87.698599]"
1800,[170 -04] 37898,On W Medill Ave From N Western Ave To N Oakley Ave,2016-2020,W Medill Ave And N Western Ave,W Medill Ave And N Oakley Ave,"[41.924081, -87.687647]","[41.924168, -87.685173]"
1801,[170 -04] 37898,On W Peterson Ave From N Melvina Ave To N Austin Ave,2016-2020,W Peterson Ave And N Melvina Ave,W Peterson Ave And N Austin Ave,"[41.9901698, -87.7827511]","[41.9901834, -87.7779227]"
1802,[170 -04] 37898,On W Schubert Ave From N Lavergne Ave To N Lamon Ave,2016-2020,W Schubert Ave And N Lavergne Ave,W Schubert Ave And N Lamon Ave,"[41.9296496, -87.7514388]","[41.9296815, -87.7489658]"
1803,[170 -04] 37898,On W St Paul Ave From N Leclaire Ave To N Lamon Ave,2016-2020,W St Paul Ave And N Leclaire Ave,W St Paul Ave And N Lamon Ave,"[41.9122991, -87.7527519]","[41.912361, -87.749272]"
1804,[170 -04] 37898,On W Warwick Ave From N Lavergne Ave To N Lamon Ave,2016-2020,W Warwick Ave And N Lavergne Ave,W Warwick Ave And N Lamon Ave,"[41.9488355, -87.7521066]","[41.948852, -87.749724]"
1805,[170 -04] 37898,2-100 E Ohio St,2016-2020,2 E Ohio St,100 E Ohio St,"[41.89254038478695, -87.62790033190971]","[41.892629, -87.625245]"
1806,[170 -04] 37898,4863-5500 N Ashland Ave,2016-2020,4863 N Ashland Ave,5500 N Ashland Ave,"[41.970733, -87.669122]","[41.982101, -87.670163]"
1807,[170 -04] 37898,300-333 N California Ave,2016-2020,300 N California Ave,333 N California Ave,"[41.886704, -87.696559]","[41.886963, -87.696284]"
1808,[170 -04] 37898,3615-3941 N Cumberland Ave,2016-2020,3615 N Cumberland Ave,3941 N Cumberland Ave,"[41.945339, -87.836062]","[41.951475, -87.836293]"
1809,[170 -04] 37898,4440-4722 N Kedzie Ave,2016-2020,4440 N Kedzie Ave,4722 N Kedzie Ave,"[41.9623858, -87.7085628]","[41.967304, -87.708682]"
1810,[170 -04] 37898,6075-6374 N Lincoln Ave,2016-2020,6075 N Lincoln Ave,6374 N Lincoln Ave,"[41.992899, -87.711023]","[41.996996, -87.718652]"
1811,[170 -04] 37898,5300-5500 N Milwaukee Ave,2016-2020,5300 N Milwaukee Ave,5500 N Milwaukee Ave,"[41.9764521, -87.7682148]","[41.9815546, -87.7735327]"
1812,[170 -04] 37898,On W Madison St From N Sacramento Blvd To N Homan Blvd,2016-2020,W Madison St And N Sacramento Blvd,W Madison St And N Homan Blvd,"[41.881051, -87.701231]","[41.88094, -87.711019]"
1813,[170 -04] 37898,2400-2144 S Bross Av,2016-2020,2400 S Bross Av,2144 S Bross Av,"[41.834317, -87.68549]","[41.8353182001365, -87.6815956001613]"
1814,[170 -04] 37898,10500-10629 S Drake Ave,2016-2020,10500 S Drake Ave,10629 S Drake Ave,"[41.702258, -87.7101]","[41.699666, -87.709331]"
1815,[170 -04] 37898,3200-3418 S Hamilton Ave,2016-2020,3200 S Hamilton Ave,3418 S Hamilton Ave,"[41.835654937826035, -87.6791434656867]","[41.831539, -87.679251]"
1816,[170 -04] 37898,7206-7222 S Luella Ave,2016-2020,7206 S Luella Ave,7222 S Luella Ave,"[41.764114, -87.570452]","[41.763726, -87.570436]"
1817,[170 -04] 37898,2-20 S Morgan St,2016-2020,2 S Morgan St,20 S Morgan St,"[41.881587, -87.65217]","[41.8815149078032, -87.65208877074201]"
1818,[170 -04] 37898,6600-6700 S Stewart Ave,2016-2020,6600 S Stewart Ave,6700 S Stewart Ave,"[41.7741912, -87.6352946]","[41.772476, -87.635302]"
1819,[170 -04] 37898,3110-3900 S Ashland Ave,2016-2020,3110 S Ashland Ave,3900 S Ashland Ave,"[41.834007226725056, -87.66577385245324]","[41.822585, -87.666444]"
1820,[170 -04] 37898,2708-2800 W 39th Pl,2016-2020,2708 W 39th Pl,2800 W 39th Pl,"[41.822116, -87.692747]","[41.822132, -87.694822]"
1821,[170 -04] 37898,2500-2540 W Argyle St,2016-2020,2500 W Argyle St,2540 W Argyle St,"[41.97193504580822, -87.69091386850361]","[41.972106, -87.692244]"
1822,[170 -04] 37898,3000-3100 W Carroll Ave,2016-2020,3000 W Carroll Ave,3100 W Carroll Ave,"[41.8879092, -87.7018463]","[41.887600385644376, -87.70347407651474]"
1823,[170 -04] 37898,2700-2920 W Congress Pkwyss,2016-2020,2700 W Congress Pkwyss,2920 W Congress Pkwyss,"[41.87495076024146, -87.69526572251921]","[41.87484952753505, -87.6993190670353]"
1824,[170 -04] 37898,1860-1875 W Fullerton Ave,2016-2020,1860 W Fullerton Ave,1875 W Fullerton Ave,"[41.9255349, -87.6750504]","[41.924926, -87.675175]"
1825,[170 -04] 37898,340-0 W Illinois St,2016-2020,340 W Illinois St,W Illinois St And State St,"[41.89080618849169, -87.63724668775484]","[41.890882, -87.628025]"
1826,[170 -04] 37898,3110-3200 W Logan Blvd,2016-2020,3110 W Logan Blvd,3200 W Logan Blvd,"[41.92886, -87.705445]","[41.9284367502171, -87.7034113000061]"
1827,[170 -04] 37898,3600-3626 W 84th Pl,2016-2020,3600 W 84th Pl,3626 W 84th Pl,"[41.73978, -87.712147]","[41.739769, -87.713045]"
1828,[170 -04] 37898,1200-1225 N Springfield Ave,2016-2020,1200 N Springfield Ave,1225 N Springfield Ave,"[41.90285767989387, -87.72395329476133]","[41.903432, -87.723539]"
1829,[170 -04] 37898,3615-3645 N Pontiac Ave,2016-2020,3615 N Pontiac Ave,3645 N Pontiac Ave,"[41.945373, -87.834883]","[41.946197, -87.834913]"
1830,[170 -04] 37898,3900-3941 N Paris Ave,2016-2020,3900 N Paris Ave,3941 N Paris Ave,"[41.950506, -87.83086]","[41.951629, -87.830205]"
1831,[170 -04] 37898,On W Maypole Ave From N Kenton Ave To N Kildare Ave,2016-2020,W Maypole Ave And N Kenton Ave,W Maypole Ave And N Kildare Ave,"[41.884504, -87.740185]","[41.884621, -87.7331511]"
1832,[170 -04] 37898,On W Mclean Ave From N Oakley Ave To N Western Ave,2016-2020,W Mclean Ave And N Oakley Ave,W Mclean Ave And N Western Ave,"[41.918373, -87.684962]","[41.91859, -87.687482]"
1833,[170 -04] 37898,On W Newport Ave From N Lockwood Ave To N Laramie Ave,2016-2020,W Newport Ave And N Lockwood Ave,W Newport Ave And N Laramie Ave,"[41.943252, -87.759271]","[41.943285, -87.756827]"
1834,[170 -04] 37898,On W Rascher Ave From N Canfield Ave To N Oriole Ave,2016-2020,W Rascher Ave And N Canfield Ave,W Rascher Ave And N Oriole Ave,"[41.978647, -87.824064]","[41.9788307, -87.8168881]"
1835,[170 -04] 37898,On W Shakespeare Ave From N California Ave To N Mozart St,2016-2020,W Shakespeare Ave And N California Ave,W Shakespeare Ave And N Mozart St,"[41.920648, -87.697272]","[41.92063, -87.698666]"
1836,[170 -04] 37898,On W Strong St From N Lockwood Ave To N Cicero Ave,2016-2020,W Strong St And N Lockwood Ave,W Strong St And N Cicero Ave,"[41.9707992, -87.7600351]","[41.9707651, -87.7479207]"
1837,[170 -04] 37898,On W Wellington Ave From N Leclaire Ave To N Lamon Ave,2016-2020,W Wellington Ave And N Leclaire Ave,W Wellington Ave And N Lamon Ave,"[41.935107, -87.754099]","[41.9351589, -87.7491957]"
1838,[170 -04] 37898,4836-4900 N Albany Ave,2016-2020,4836 N Albany Ave,4900 N Albany Ave,"[41.969566, -87.706409]","[41.970557, -87.706229]"
1839,[170 -04] 37898,4645-4701 N Broadway,2016-2020,4645 N Broadway,4701 N Broadway,"[41.966709, -87.657963]","[41.967331, -87.658604]"
1840,[170 -04] 37898,22-32 N Carpenter St,2016-2020,22 N Carpenter St,32 N Carpenter St,"[41.882134, -87.65336]","[41.88213961261855, -87.65328003146007]"
1841,[170 -04] 37898,2800-2910 N Dawson Ave,2016-2020,2800 N Dawson Ave,2910 N Dawson Ave,"[41.932969427006825, -87.71349368257546]","[41.934612, -87.712063]"
1842,[170 -04] 37898,300-340 N Leavitt St,2016-2020,300 N Leavitt St,340 N Leavitt St,"[41.8868639, -87.6820476]","[41.88679706355107, -87.68172548437795]"
1843,[170 -04] 37898,6080-6300 N Lincoln Ave,2016-2020,6080 N Lincoln Ave,6300 N Lincoln Ave,"[41.992412, -87.711274]","[41.995799, -87.71671]"
1844,[170 -04] 37898,2-10 N Morgan St,2016-2020,2 N Morgan St,10 N Morgan St,"[41.882405, -87.6526583]","[41.8823133, -87.6496667]"
1845,[170 -04] 37898,4900-4915 N New England Ave,2016-2020,4900 N New England Ave,4915 N New England Ave,"[41.970267, -87.799239]","[41.970597, -87.798509]"
1846,[170 -04] 37898,221-0 W Ohio St,2016-2020,221 W Ohio St,W Ohio St And State St,"[41.892136, -87.635008]","[41.892492, -87.628083]"
1847,[170 -04] 37898,7612-7760 W Touhy Ave,2016-2020,7612 W Touhy Ave,7760 W Touhy Ave,"[42.011703, -87.816989]","[42.011420358939176, -87.81995877508338]"
1848,[170 -04] 37898,On E 69th St From S Anthony Ave To S Vernon Ave,2017-2021,E 69th St And S Anthony Ave,E 69th St And S Vernon Ave,"[41.769457, -87.613674]","[41.769347, -87.61415]"
1849,[170 -04] 37898,On N Long Ave From W Wabansia Ave To W North Ave,2017-2021,N Long Ave And W Wabansia Ave,N Long Ave And W North Ave,"[41.911291, -87.760604]","[41.909514, -87.760549]"
1850,[170 -04] 37898,On N Lorel Ave From W Altgeld St To W Fullerton Ave,2017-2021,N Lorel Ave And W Altgeld St,N Lorel Ave And W Fullerton Ave,"[41.925914, -87.759843]","[41.924026, -87.759831]"
1851,[170 -04] 37898,On N Maplewood Ave From W Peterson Ave To W Thorndale Ave,2017-2021,N Maplewood Ave And W Peterson Ave,N Maplewood Ave And W Thorndale Ave,"[42.0190401396741, -87.6933221227763]","[41.988615, -87.693281]"
1852,[170 -04] 37898,On N Meade Ave From W Foster Ave To W Argyle St,2017-2021,N Meade Ave And W Foster Ave,N Meade Ave And W Argyle St,"[41.975626, -87.780613]","[41.9720765, -87.7806782]"
1853,[170 -04] 37898,On N Melvina Ave From W Bloomingdale Ave To W Wabansia Ave,2017-2021,N Melvina Ave And W Bloomingdale Ave,N Melvina Ave And W Wabansia Ave,"[41.9128671, -87.7802302]","[41.911043, -87.780138]"
1854,[170 -04] 37898,On N Milwaukee Ave From W Carmen Ave To W Foster Ave,2017-2021,N Milwaukee Ave And W Carmen Ave,N Milwaukee Ave And W Foster Ave,"[41.9730059, -87.7653429]","[41.9746376, -87.7668067]"
1855,[170 -04] 37898,On N Milwaukee Ave From W Diversey Ave To N Kedzie Ave,2017-2021,N Milwaukee Ave And W Diversey Ave,N Milwaukee Ave And N Kedzie Ave,"[41.931964, -87.71226]","[41.92891255, -87.70738245]"
1856,[170 -04] 37898,On N Monitor Ave From W Thomas St To W Augusta Blvd,2017-2021,N Monitor Ave And W Thomas St,N Monitor Ave And W Augusta Blvd,"[41.9002358, -87.7716601]","[41.898428, -87.771601]"
1857,[170 -04] 37898,On N Narragansett Ave From W Berenice Ave To W Warwick Ave,2017-2021,N Narragansett Ave And W Berenice Ave,N Narragansett Ave And W Warwick Ave,"[41.950211, -87.7864031]","[41.948404, -87.786333]"
1858,[170 -04] 37898,On N New England Ave From W Diversey Ave To W Schubert Ave,2017-2021,N New England Ave And W Diversey Ave,N New England Ave And W Schubert Ave,"[41.930889, -87.797881]","[41.9290461, -87.7978179]"
1859,[170 -04] 37898,On N Newland Ave From W Dickens Ave To W Armitage Ave,2017-2021,N Newland Ave And W Dickens Ave,N Newland Ave And W Armitage Ave,"[41.9181208, -87.7987359]","[41.9163042, -87.7986731]"
1860,[170 -04] 37898,On N Lincoln Ave From W Devon Ave To N Jersey Ave,2017-2021,N Lincoln Ave And W Devon Ave,N Lincoln Ave And N Jersey Ave,"[41.997238, -87.718499]","[41.992857, -87.711578]"
1861,[170 -04] 37898,On N Newland Ave From W Wrightwood Ave To W Grand Ave,2017-2021,N Newland Ave And W Wrightwood Ave,N Newland Ave And W Grand Ave,"[41.927214, -87.7990308]","[41.923592, -87.798876]"
1862,[170 -04] 37898,On N Oak Park Ave From W Altgeld St To W Grand Ave,2017-2021,N Oak Park Ave And W Altgeld St,N Oak Park Ave And W Grand Ave,"[41.925438, -87.795256]","[41.923627, -87.795201]"
1863,[170 -04] 37898,On N Oconto Ave From W Howard St To W Birchwood Ave,2017-2021,N Oconto Ave And W Howard St,N Oconto Ave And W Birchwood Ave,"[42.018934, -87.807783]","[42.017112, -87.807804]"
1864,[170 -04] 37898,On N Octavia Ave From W Howard St To W Birchwood Ave,2017-2021,N Octavia Ave And W Howard St,N Octavia Ave And W Birchwood Ave,"[42.018908, -87.809015]","[42.017087, -87.809024]"
1865,[170 -04] 37898,On N Paris Ave From W Addison St To W Forest Preserve Ave,2017-2021,N Paris Ave And W Addison St,N Paris Ave And W Forest Preserve Ave,"[41.944931, -87.830261]","[41.942967550000006, -87.8299812]"
1866,[170 -04] 37898,On N Paulina St From W Ainslie St To W Lawrence Ave,2017-2021,N Paulina St And W Ainslie St,N Paulina St And W Lawrence Ave,"[41.9718351, -87.671121]","[41.9689036, -87.6710087]"
1867,[170 -04] 37898,On N Pontiac Ave From W School St To W Belmont Ave,2017-2021,N Pontiac Ave And W School St,N Pontiac Ave And W Belmont Ave,"[41.9392738, -87.8348655]","[41.9375796, -87.8347576]"
1868,[170 -04] 37898,On N Sheffield Ave From W Wellington Ave To W Diversey Pkwy,2017-2021,N Sheffield Ave And W Wellington Ave,N Sheffield Ave And W Diversey Pkwy,"[41.93627, -87.653966]","[41.93267, -87.653845]"
1869,[170 -04] 37898,On N Springfield Ave From W Fullerton Ave To W Shakespeare Ave,2017-2021,N Springfield Ave And W Fullerton Ave,N Springfield Ave And W Shakespeare Ave,"[41.924492, -87.724322]","[41.919963, -87.7241994]"
1870,[170 -04] 37898,On N Talman Ave From W Altgeld St To W Fullerton Ave,2017-2021,N Talman Ave And W Altgeld St,N Talman Ave And W Fullerton Ave,"[41.926668, -87.693804]","[41.924824, -87.693727]"
1871,[170 -04] 37898,On N Woodard St From N Milwaukee Ave To N Spaulding Ave,2017-2021,N Woodard St And N Milwaukee Ave,N Woodard St And N Spaulding Ave,"[41.932303, -87.712751]","[41.934953, -87.709923]"
1872,[170 -04] 37898,On S Archer Ave From S Central Ave To S Long Ave,2017-2021,S Archer Ave And S Central Ave,S Archer Ave And S Long Ave,"[41.795815, -87.76213035]","[41.79644, -87.757503]"
1873,[170 -04] 37898,On N Normandy Ave From W Barry Ave To W Wellington Ave,2017-2021,N Normandy Ave And W Barry Ave,N Normandy Ave And W Wellington Ave,"[41.936391, -87.793164]","[41.9345659, -87.7931413]"
1874,[170 -04] 37898,On N Lincoln Ave From N Whipple St To W Bryn Mawr Ave,2017-2021,N Lincoln Ave And N Whipple St,N Lincoln Ave And W Bryn Mawr Ave,"[41.988983, -87.705137]","[41.983139, -87.695232]"
1875,[170 -04] 37898,On S Archer Ave From S Linder Ave To S Long Ave,2017-2021,S Archer Ave And S Linder Ave,S Archer Ave And S Long Ave,"[41.7960635, -87.7598569]","[41.79644, -87.757503]"
1876,[170 -04] 37898,On N Leclaire Ave From W Erie St To W Ferdinand St,2017-2021,N Leclaire Ave And W Erie St,N Leclaire Ave And W Ferdinand St,"[41.892217, -87.7530614]","[41.8893323, -87.7529527]"
1877,[170 -04] 37898,On E 73rd St From S Blackstone Ave To S Stony Island Ave,2017-2021,E 73rd St And S Blackstone Ave,E 73rd St And S Stony Island Ave,"[41.7623717, -87.5884671]","[41.762394, -87.585829]"
1878,[170 -04] 37898,On N Ada St From W Hubbard St To W Kinzie St,2017-2021,N Ada St And W Hubbard St,N Ada St And W Kinzie St,"[41.889962, -87.660865]","[41.888936, -87.660865]"
1879,[170 -04] 37898,On N Ashland Ave From W Edgewater Ave To W Bryn Mawr Ave,2017-2021,N Ashland Ave And W Edgewater Ave,N Ashland Ave And W Bryn Mawr Ave,"[42.02159225, -87.6706252999991]","[42.0178915000001, -87.6704034999809]"
1880,[170 -04] 37898,On N Broadway From W Lawrence Ave To W Leland Ave,2017-2021,N Broadway And W Lawrence Ave,N Broadway And W Leland Ave,"[41.9690279, -87.6596676]","[41.9672118, -87.65865]"
1881,[170 -04] 37898,On N Campbell Ave From W Wellington Ave To N Elston Ave,2017-2021,N Campbell Ave And W Wellington Ave,N Campbell Ave And N Elston Ave,"[41.935761, -87.690406]","[41.933995, -87.690392]"
1882,[170 -04] 37898,On N Central Park Ave From W Ohio St To W Franklin Blvd,2017-2021,N Central Park Ave And W Ohio St,N Central Park Ave And W Franklin Blvd,"[41.8917937, -87.7162163]","[41.890419, -87.716202]"
1883,[170 -04] 37898,On N Lincoln Ave From N Kedzie Ave To W Peterson Ave,2017-2021,N Lincoln Ave And N Kedzie Ave,N Lincoln Ave And W Peterson Ave,"[41.991475, -87.70906]","[41.9354112002216, -87.6626769994111]"
1884,[170 -04] 37898,On N Clark St From W Arthur Ave To W Edgewater Ave,2017-2021,N Clark St And W Arthur Ave,N Clark St And W Edgewater Ave,"[42.0006169, -87.6714279]","[42.019429, -87.676396]"
1885,[170 -04] 37898,On N Damen Ave From W Carroll Ave To W Warren Blvd,2017-2021,N Damen Ave And W Carroll Ave,N Damen Ave And W Warren Blvd,"[41.8876991, -87.6768196]","[41.8822439, -87.6767199]"
1886,[170 -04] 37898,On N Forest Glen Ave From N Ionia Ave To N Hiawatha Ave,2017-2021,N Forest Glen Ave And N Ionia Ave,N Forest Glen Ave And N Hiawatha Ave,"[41.9918058, -87.7410146]","[41.9902461, -87.742291]"
1887,[170 -04] 37898,On N Hamlin Ave From W Cornelia Ave To W Roscoe St,2017-2021,N Hamlin Ave And W Cornelia Ave,N Hamlin Ave And W Roscoe St,"[41.944601, -87.722454]","[41.94281, -87.722389]"
1888,[170 -04] 37898,On N Harding Ave From W Wrightwood Ave To W Altgeld St,2017-2021,N Harding Ave And W Wrightwood Ave,N Harding Ave And W Altgeld St,"[41.928191, -87.725645]","[41.926337, -87.72559]"
1889,[170 -04] 37898,On N Claremont Ave From N Division St To N Potomac Ave,2017-2021,N Claremont Ave And N Division St,N Claremont Ave And N Potomac Ave,"[42.016564750002, -87.688839350302]","[41.9048995, -87.6858963]"
1890,[170 -04] 37898,On N Hoyne Ave From W Superior St To W Erie St,2017-2021,N Hoyne Ave And W Superior St,N Hoyne Ave And W Erie St,"[41.8947601, -87.6794767]","[41.8931162, -87.6794222]"
1891,[170 -04] 37898,On N Justine St From W Arbour Pl To W Lake St,2017-2021,N Justine St And W Arbour Pl,N Justine St And W Lake St,"[41.888264, -87.665525]","[41.885354, -87.665434]"
